policy,Q,mean_carry_annual_pct
B1_Industry,1000000.0,11.213448160577407
B1_Industry,4731512.589614803,10.101068637952643
B1_Industry,22387211.385683376,6.631086805847309
B1_Industry,105925372.51772854,-3.6605286643692665
B1_Industry,501187233.6272715,-35.37130094186746
B2_Conservative,1000000.0,8.835946749439504
B2_Conservative,4731512.589614803,8.49635355601312
B2_Conservative,22387211.385683376,7.483745138150853
B2_Conservative,105925372.51772854,4.44684125948755
B2_Conservative,501187233.6272715,-5.232424491195726
B3_Aggressive,1000000.0,10.86609933537416
B3_Aggressive,4731512.589614803,9.048485510877839
B3_Aggressive,22387211.385683376,2.7357972794867305
B3_Aggressive,105925372.51772854,-15.976894190419234
B3_Aggressive,501187233.6272715,-72.61680458580038
ALG_Adaptive,1000000.0,28.72852474741909
ALG_Adaptive,4731512.589614803,25.883964544843487
ALG_Adaptive,22387211.385683376,20.473489734088165
ALG_Adaptive,105925372.51772854,12.641764035773344
ALG_Adaptive,501187233.6272715,-0.5960776232837779
ALGS_Smoothed,1000000.0,26.889912625705566
ALGS_Smoothed,4731512.589614803,24.557611522944594
ALGS_Smoothed,22387211.385683376,19.720131428745546
ALGS_Smoothed,105925372.51772854,11.928323940505495
ALGS_Smoothed,501187233.6272715,-1.0747798165995535
