policy,Q,mean_carry_annual_pct,asset
B1_Industry,1000000.0,11.842146062309704,ETH
B1_Industry,1239091.7011134508,11.863660794571848,ETH
B1_Industry,1535348.2437682257,11.88055274416369,ETH
B1_Industry,1902437.26717232,11.89356241520143,ETH
B1_Industry,2357294.2296421793,11.903238735532748,ETH
B1_Industry,2920903.71703225,11.909960373562326,ETH
B1_Industry,3619267.5555260926,11.913947912180198,ETH
B1_Industry,4484604.392161547,11.915267027445005,ETH
B1_Industry,5556836.085104305,11.913822271628234,ETH
B1_Industry,6885429.477500502,11.909340450943319,ETH
B1_Industry,8531678.524172796,11.901341875912191,ETH
B1_Industry,10571532.05587039,11.889096895834543,ETH
B1_Industry,13099097.638483817,11.871564044247739,ETH
B1_Industry,16230983.1759201,11.847304737849349,ETH
B1_Industry,20111676.55419464,11.814367681325395,ETH
B1_Industry,24920211.51378054,11.770133796931015,ETH
B1_Industry,30878427.27671734,11.71110943967687,ETH
B1_Industry,38261202.98201567,11.632651638818956,ETH
B1_Industry,47409139.08963284,11.528603810801947,ETH
B1_Industry,58744270.802897476,11.390813404735015,ETH
B1_Industry,72789538.43983147,11.208493723592712,ETH
B1_Industry,90192913.0086737,10.967379992585938,ETH
B1_Industry,111757290.00829521,10.648613669473203,ETH
B1_Industry,138477530.58820778,10.22726775356897,ETH
B1_Industry,171586358.94253233,9.670397790894343,ETH
B1_Industry,212611233.38996556,8.934466199046925,ETH
B1_Industry,263444814.85700136,7.9619385489397,ETH
B1_Industry,326432283.79067993,6.676785712291186,ETH
B1_Industry,404479533.8205424,4.978540253736699,ETH
B1_Industry,501187233.6272715,2.7344424286040017,ETH
B2_Conservative,1000000.0,9.017850826028887,ETH
B2_Conservative,1239091.7011134508,9.019463467035418,ETH
B2_Conservative,1535348.2437682257,9.020556025098154,ETH
B2_Conservative,1902437.26717232,9.021161709483867,ETH
B2_Conservative,2357294.2296421793,9.021285741213099,ETH
B2_Conservative,2920903.71703225,9.020903817681374,ETH
B2_Conservative,3619267.5555260926,9.01995864433651,ETH
B2_Conservative,4484604.392161547,9.01835418991944,ETH
B2_Conservative,5556836.085104305,9.01594715778199,ETH
B2_Conservative,6885429.477500502,9.012534959435149,ETH
B2_Conservative,8531678.524172796,9.007839212143118,ETH
B2_Conservative,10571532.05587039,9.001483439817644,ETH
B2_Conservative,13099097.638483817,8.992963209242758,ETH
B2_Conservative,16230983.1759201,8.981606347084904,ETH
B2_Conservative,20111676.55419464,8.966520111582998,ETH
B2_Conservative,24920211.51378054,8.946521176130037,ETH
B2_Conservative,30878427.27671734,8.920042940818561,ETH
B2_Conservative,38261202.98201567,8.88501291770103,ETH
B2_Conservative,47409139.08963284,8.838690597714644,ETH
B2_Conservative,58744270.802897476,8.777453119260196,ETH
B2_Conservative,72789538.43983147,8.696511978970628,ETH
B2_Conservative,90192913.0086737,8.589538635401961,ETH
B2_Conservative,111757290.00829521,8.448169734927683,ETH
B2_Conservative,138477530.58820778,8.261353279342,ETH
B2_Conservative,171586358.94253233,8.014484621009293,ETH
B2_Conservative,212611233.38996556,7.688264741876652,ETH
B2_Conservative,263444814.85700136,7.257191562958941,ETH
B2_Conservative,326432283.79067993,6.687566343904832,ETH
B2_Conservative,404479533.8205424,5.934859325409455,ETH
B2_Conservative,501187233.6272715,4.940228677258414,ETH
B3_Aggressive,1000000.0,12.0161093985434,ETH
B3_Aggressive,1239091.7011134508,12.112238325389015,ETH
B3_Aggressive,1535348.2437682257,12.189186625468976,ETH
B3_Aggressive,1902437.26717232,12.250452260697145,ETH
B3_Aggressive,2357294.2296421793,12.29879296635112,ETH
B3_Aggressive,2920903.71703225,12.336348105468128,ETH
B3_Aggressive,3619267.5555260926,12.364730268314961,ETH
B3_Aggressive,4484604.392161547,12.385090287879247,ETH
B3_Aggressive,5556836.085104305,12.398157937531503,ETH
B3_Aggressive,6885429.477500502,12.40425921943231,ETH
B3_Aggressive,8531678.524172796,12.40330976085129,ETH
B3_Aggressive,10571532.05587039,12.394782321786098,ETH
B3_Aggressive,13099097.638483817,12.377644679113494,ETH
B3_Aggressive,16230983.1759201,12.350262067270123,ETH
B3_Aggressive,20111676.55419464,12.310255770774853,ETH
B3_Aggressive,24920211.51378054,12.254306186296358,ETH
B3_Aggressive,30878427.27671734,12.17788445214475,ETH
B3_Aggressive,38261202.98201567,12.07489125673712,ETH
B3_Aggressive,47409139.08963284,11.93717426038082,ETH
B3_Aggressive,58744270.802897476,11.753886139209762,ETH
B3_Aggressive,72789538.43983147,11.510632852413515,ETH
B3_Aggressive,90192913.0086737,11.18834537643628,ETH
B3_Aggressive,111757290.00829521,10.761786565789546,ETH
B3_Aggressive,138477530.58820778,10.197576303766551,ETH
B3_Aggressive,171586358.94253233,9.451580471259655,ETH
B3_Aggressive,212611233.38996556,8.465459547008168,ETH
B3_Aggressive,263444814.85700136,7.162106972377897,ETH
B3_Aggressive,326432283.79067993,5.439620634406193,ETH
B3_Aggressive,404479533.8205424,3.163336159032167,ETH
B3_Aggressive,501187233.6272715,0.1552991990995647,ETH
ALG_Adaptive,1000000.0,30.55247889237218,ETH
ALG_Adaptive,1239091.7011134508,30.557549613580385,ETH
ALG_Adaptive,1535348.2437682257,30.558466788668724,ETH
ALG_Adaptive,1902437.26717232,30.55501036950219,ETH
ALG_Adaptive,2357294.2296421793,30.54667553565136,ETH
ALG_Adaptive,2920903.71703225,30.532621342615716,ETH
ALG_Adaptive,3619267.5555260926,30.511828789777297,ETH
ALG_Adaptive,4484604.392161547,30.482669846172147,ETH
ALG_Adaptive,5556836.085104305,30.443203057112292,ETH
ALG_Adaptive,6885429.477500502,30.39086199091561,ETH
ALG_Adaptive,8531678.524172796,30.321726234614083,ETH
ALG_Adaptive,10571532.05587039,30.230344545676434,ETH
ALG_Adaptive,13099097.638483817,30.109324675929724,ETH
ALG_Adaptive,16230983.1759201,29.949574800848772,ETH
ALG_Adaptive,20111676.55419464,29.740592464333492,ETH
ALG_Adaptive,24920211.51378054,29.471240287449895,ETH
ALG_Adaptive,30878427.27671734,29.13622497104813,ETH
ALG_Adaptive,38261202.98201567,28.719130965757493,ETH
ALG_Adaptive,47409139.08963284,28.209143124171757,ETH
ALG_Adaptive,58744270.802897476,27.584620515875756,ETH
ALG_Adaptive,72789538.43983147,26.83124694082473,ETH
ALG_Adaptive,90192913.0086737,25.93094478944756,ETH
ALG_Adaptive,111757290.00829521,24.890665182135713,ETH
ALG_Adaptive,138477530.58820778,23.74875710990051,ETH
ALG_Adaptive,171586358.94253233,22.46674924284645,ETH
ALG_Adaptive,212611233.38996556,21.018772242268994,ETH
ALG_Adaptive,263444814.85700136,19.40161948832853,ETH
ALG_Adaptive,326432283.79067993,17.6464200769395,ETH
ALG_Adaptive,404479533.8205424,15.7705019860368,ETH
ALG_Adaptive,501187233.6272715,13.74538048341547,ETH
ALGS_Smoothed,1000000.0,28.530219491444242,ETH
ALGS_Smoothed,1239091.7011134508,28.61810450995419,ETH
ALGS_Smoothed,1535348.2437682257,28.72616574198603,ETH
ALGS_Smoothed,1902437.26717232,28.784050724339195,ETH
ALGS_Smoothed,2357294.2296421793,28.813109025451453,ETH
ALGS_Smoothed,2920903.71703225,28.8459949910882,ETH
ALGS_Smoothed,3619267.5555260926,28.851463899589167,ETH
ALGS_Smoothed,4484604.392161547,28.864097332316177,ETH
ALGS_Smoothed,5556836.085104305,28.849733707176405,ETH
ALGS_Smoothed,6885429.477500502,28.818360540279148,ETH
ALGS_Smoothed,8531678.524172796,28.775553115847618,ETH
ALGS_Smoothed,10571532.05587039,28.72842524953305,ETH
ALGS_Smoothed,13099097.638483817,28.6187863320547,ETH
ALGS_Smoothed,16230983.1759201,28.503696181342388,ETH
ALGS_Smoothed,20111676.55419464,28.344619525568127,ETH
ALGS_Smoothed,24920211.51378054,28.125560101779804,ETH
ALGS_Smoothed,30878427.27671734,27.846140488134857,ETH
ALGS_Smoothed,38261202.98201567,27.490623840884272,ETH
ALGS_Smoothed,47409139.08963284,27.02911966558421,ETH
ALGS_Smoothed,58744270.802897476,26.467091967343617,ETH
ALGS_Smoothed,72789538.43983147,25.74829860315238,ETH
ALGS_Smoothed,90192913.0086737,24.96569811629633,ETH
ALGS_Smoothed,111757290.00829521,24.07400979675078,ETH
ALGS_Smoothed,138477530.58820778,23.001128588628397,ETH
ALGS_Smoothed,171586358.94253233,21.849689248269733,ETH
ALGS_Smoothed,212611233.38996556,20.507561593996815,ETH
ALGS_Smoothed,263444814.85700136,19.02116774815542,ETH
ALGS_Smoothed,326432283.79067993,17.344597665663418,ETH
ALGS_Smoothed,404479533.8205424,15.477171356943446,ETH
ALGS_Smoothed,501187233.6272715,13.31114541620781,ETH
